vnu_id,subject_code,score,semester_id
19021212,MAT1093,9,20201
19020001,MAT1093,9,20201
19020002,MAT1093,8,20201
19020003,MAT1093,9,20201
19020004,MAT1093,4,20201
19020005,MAT1093,6,20201
19020006,MAT1093,9,20201
19020007,MAT1093,1,20201
19020008,MAT1093,1,20201
19020009,MAT1093,1,20201
19020010,MAT1093,9,20201
19020011,MAT1093,9,20201
19020012,MAT1093,9,20201
19020013,MAT1093,9,20201
19020014,MAT1093,8,20201
19020015,MAT1093,9,20201
19020016,MAT1093,9,20202
19020017,MAT1093,7,20202
19020018,MAT1093,3,20202
19020019,MAT1093,9,20202
19020020,MAT1093,9,20202
19020021,MAT1093,9,20202
19020022,MAT1093,7,20202
19020023,MAT1093,9,20202
19020024,MAT1093,8,20202
19020025,MAT1093,9,20202
19020026,MAT1093,3,20202
19020027,MAT1093,9,20202
19020028,MAT1093,9,20202
19020029,MAT1093,9,20202
19020030,MAT1093,1,20202
19020031,MAT1093,7,20202
19020032,MAT1093,7,20202
19020033,MAT1093,1,20202
19020034,MAT1093,9,20202
19020035,MAT1093,9,20202
19020036,MAT1093,1,20202
19020037,MAT1093,8,20202
19020038,MAT1093,9,20202
19020039,MAT1093,4,20202
19020040,MAT1093,6,20202
19020041,MAT1093,9,20202
19020042,MAT1093,7,20202
19020043,MAT1093,9,20202
19020044,MAT1093,9,20202
19020045,MAT1093,9,20202
19020046,MAT1093,9,20202
19020047,MAT1093,9,20202
19020048,MAT1093,9,20202
19020049,MAT1093,9,20202
19020050,MAT1093,9,20202
19020051,MAT1093,3,20202
19020052,MAT1093,8,20202
19020053,MAT1093,9,20202
19020054,MAT1093,9,20202
19020055,MAT1093,9,20202
19020056,MAT1093,9,20202
19020057,MAT1093,9,20202
19020058,MAT1093,9,20202
19020059,MAT1093,3,20202
19020060,MAT1093,9,20202
